Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Learning Airflow Range (Current)* (offset),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),IAM (4-byte)* (multiplier),Mass Airflow (g/s),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Atmospheric Pressure (psi),CL/OL Fueling* (status),Closed Loop Fueling Target (4-byte)* (estimated AFR),Engine Load (4-Byte)* (g/rev),Engine Load (Calculated) (g/rev),Feedback Knock Correction (4-byte)* (degrees),Gear (Calculated)* (position),Intake Air Temperature (F),Intake VVT Advance Angle Right (degrees),Knock Correction Advance (degrees),Knock Sum* (count),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Final Fueling Base (4-byte)* (lambda),Ignition Total Timing (degrees)
145005,14.84,0.00,3,13.60,192,1784,0.5000,15.05,14.70,14.36,8,14.58,0.50,0.50,0.00,3,106,15,0.00,13,11.03,14.51,0.99,40.00
145109,15.62,0.00,3,13.60,192,1786,0.5000,14.87,14.60,14.36,8,14.58,0.50,0.50,0.00,3,106,11,0.00,13,10.88,14.51,0.99,40.00
145213,16.41,0.00,3,13.60,192,1787,0.5000,14.87,14.50,14.36,8,14.58,0.50,0.50,0.00,3,106,6,0.00,13,10.88,13.73,0.99,39.50
145317,15.62,0.00,3,13.52,192,1782,0.5000,14.75,15.10,14.36,8,14.58,0.50,0.49,0.00,3,106,4,0.00,13,10.74,13.73,0.99,39.50
145421,14.84,0.00,3,13.52,192,1795,0.5000,14.75,14.60,14.36,8,14.58,0.50,0.49,0.00,3,106,3,0.00,13,10.74,13.73,0.99,39.50
145525,14.84,0.00,3,13.52,192,1792,0.5000,14.93,14.30,14.36,8,14.57,0.50,0.50,0.00,3,106,1,0.00,13,10.74,13.73,0.99,39.50
145630,14.06,0.00,3,13.52,192,1794,0.5000,14.75,14.30,14.36,8,14.57,0.50,0.49,0.00,3,106,0,0.00,13,10.74,13.33,0.99,39.50
145733,14.06,0.00,3,13.52,192,1790,0.5000,14.40,14.50,14.36,8,14.57,0.49,0.48,0.00,3,106,0,0.00,13,10.59,12.94,0.99,39.00
145837,13.28,0.00,3,13.52,192,1783,0.5000,14.34,14.30,14.36,8,14.57,0.49,0.48,0.00,3,106,0,0.00,13,10.45,12.94,0.99,39.00
145941,12.50,0.00,3,13.52,192,1773,0.5000,13.99,14.30,14.36,8,14.57,0.48,0.47,0.00,3,106,0,0.00,13,10.30,11.76,0.99,38.50
146045,10.94,0.00,3,13.52,192,1751,0.5000,13.20,14.40,14.36,8,14.57,0.47,0.45,0.00,3,106,0,0.00,13,9.72,10.98,0.99,37.50
146150,8.59,0.00,3,13.60,192,1728,0.5000,13.03,13.80,14.36,8,14.57,0.46,0.45,0.00,3,106,0,0.00,13,9.58,10.98,0.99,37.00
146253,7.03,0.00,3,13.52,192,1713,0.5000,13.14,13.80,14.36,8,14.57,0.46,0.46,0.00,3,106,0,0.00,13,9.43,11.37,0.99,36.50
146357,5.47,0.00,3,13.44,192,1701,0.5000,12.92,13.90,14.36,8,14.57,0.46,0.46,0.00,3,106,0,0.00,13,9.58,11.37,0.99,36.50
146461,5.47,0.00,3,13.60,192,1699,0.5000,12.98,14.10,14.36,8,14.57,0.46,0.46,0.00,3,106,0,0.00,13,9.43,11.37,0.99,36.50
146565,4.69,0.00,3,13.60,192,1692,0.5000,12.49,14.20,14.36,8,14.57,0.45,0.43,0.00,3,106,0,0.00,13,9.29,9.02,1.00,36.50
146669,4.69,0.00,3,13.60,192,1658,0.5000,10.85,14.20,14.36,8,14.57,0.42,0.38,0.00,3,106,0,0.00,13,8.56,8.24,1.05,35.00
146772,1.56,0.00,3,13.52,194,1608,0.5000,10.03,14.00,14.36,8,14.57,0.39,0.37,0.00,3,106,0,0.00,13,7.98,8.24,1.00,32.50
146878,-3.12,0.00,2,13.44,194,1582,0.5000,9.94,13.50,14.36,8,14.57,0.38,0.37,0.00,3,106,0,0.00,13,7.69,8.24,1.00,31.50
146981,-5.47,0.00,2,13.60,194,1585,0.5000,9.80,13.30,14.36,8,14.58,0.38,0.35,0.00,3,106,0,0.00,13,7.55,7.06,1.00,31.00
147085,-6.25,0.00,2,13.28,194,1556,0.5000,8.27,13.10,14.36,8,14.58,0.34,0.31,0.00,3,106,0,0.00,13,6.82,5.49,1.06,28.50
147189,-7.81,0.00,2,13.52,194,1493,0.5000,7.52,13.20,14.36,8,14.58,0.32,0.30,0.00,3,106,0,0.00,13,6.38,5.49,1.00,25.00
147293,-10.16,0.00,2,13.52,194,1478,0.5000,7.33,13.00,14.36,8,14.58,0.31,0.30,0.00,3,106,0,0.00,13,6.24,5.49,1.00,23.00
147397,-12.50,0.00,2,13.52,194,1423,0.5000,7.07,12.90,14.36,8,14.58,0.30,0.29,0.00,3,106,0,0.00,13,6.09,5.49,1.00,20.50
147501,0.00,0.00,2,13.52,194,1392,0.5000,7.00,12.80,14.36,10,14.59,0.30,0.30,0.00,3,106,0,0.00,13,5.95,5.49,1.00,18.50
147605,0.00,0.00,2,13.12,194,1348,0.5000,6.89,12.70,14.36,10,14.59,0.30,0.30,0.00,3,106,0,0.00,13,5.95,5.49,1.00,17.50
147709,0.00,0.00,2,12.88,194,1336,0.5000,6.75,13.00,14.36,10,14.59,0.30,0.30,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.50
147813,0.00,0.00,2,13.60,194,1275,0.5000,6.71,13.60,14.36,10,14.60,0.30,0.31,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.50
147918,0.00,0.00,2,13.68,194,1184,0.5000,6.64,14.30,14.36,10,14.60,0.31,0.33,0.00,3,106,0,0.00,13,6.09,5.10,1.00,17.00
148021,0.00,0.00,2,13.60,194,1114,0.5000,6.56,14.70,14.36,10,14.62,0.33,0.35,0.00,3,106,0,0.00,13,6.24,4.71,1.00,17.00
148125,0.00,0.00,2,13.60,194,1057,0.5000,6.24,16.40,14.36,10,14.63,0.34,0.35,0.00,3,106,0,0.00,13,6.38,4.71,1.00,17.00
148229,0.00,0.00,2,13.60,194,1009,0.5000,6.11,16.90,14.36,10,14.64,0.34,0.36,0.00,3,106,0,0.00,13,6.38,4.71,1.00,22.00
148333,0.00,0.00,2,13.52,194,958,0.5000,6.08,19.50,14.36,10,14.65,0.35,0.37,0.00,3,106,0,0.00,13,6.67,4.71,1.00,22.00
148437,0.00,0.00,2,13.52,194,928,0.5000,6.11,22.80,14.36,10,14.66,0.36,0.39,0.00,3,106,0,0.00,13,6.82,5.10,1.00,22.00
148541,0.00,0.00,2,13.44,194,879,0.5000,6.17,28.00,14.36,10,14.67,0.38,0.41,0.00,3,106,0,0.00,13,7.11,5.10,1.00,22.00
148645,0.00,0.00,2,13.52,194,846,0.5000,6.14,38.70,14.36,10,14.68,0.39,0.43,0.00,3,106,0,0.00,13,7.40,5.10,1.00,22.00
148750,0.00,0.00,2,13.60,194,1023,0.5000,6.14,38.70,14.36,10,14.67,0.39,0.36,0.00,3,106,0,0.00,13,7.69,5.10,1.06,17.00
148854,0.00,0.00,2,13.60,194,1288,0.5000,6.01,74.80,14.36,10,14.62,0.35,0.29,0.00,3,106,0,0.00,13,7.25,5.10,1.11,17.00
148957,0.00,0.00,2,13.52,194,1362,0.5000,5.91,55.60,14.36,10,14.59,0.31,0.26,0.00,3,106,0,0.00,13,6.67,5.10,1.09,17.50
149061,0.00,0.00,2,13.44,194,1318,0.5000,5.95,26.60,14.36,10,14.59,0.29,0.27,0.00,3,106,0,0.00,13,6.24,5.10,1.00,17.50
149166,0.00,0.00,2,13.60,194,1296,0.5000,6.01,20.40,14.36,10,14.60,0.28,0.28,0.00,3,106,0,0.00,13,6.09,5.10,1.00,17.50
149269,0.00,0.00,2,13.68,194,1283,0.5000,6.08,17.40,14.36,10,14.60,0.28,0.29,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.50
149373,0.00,0.00,2,13.60,194,1274,0.5000,6.01,16.30,14.36,10,14.60,0.28,0.28,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.50
149477,0.00,0.00,2,13.52,194,1248,0.5000,5.95,15.40,14.36,10,14.60,0.28,0.28,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.00
149581,-2.34,0.00,2,13.52,194,1240,0.5000,5.91,14.20,14.36,8,14.60,0.28,0.28,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.00
149686,-3.91,0.00,2,13.68,194,1218,0.5000,5.85,14.20,14.36,8,14.60,0.28,0.29,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.00
149789,-4.69,0.00,2,13.68,194,1199,0.5000,5.75,13.90,14.36,8,14.60,0.28,0.29,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.00
149894,-5.47,0.00,2,13.52,194,1179,0.5000,5.75,13.70,14.36,8,14.61,0.29,0.29,0.00,3,106,0,0.00,13,5.95,5.10,1.00,17.00
149997,-7.03,0.00,2,13.52,194,1160,0.5000,5.66,13.60,14.36,8,14.61,0.29,0.29,0.00,3,106,0,0.00,13,5.95,4.71,1.00,17.00
150102,-7.81,0.00,1,12.88,194,1144,0.5000,5.59,13.50,14.36,8,14.62,0.29,0.29,0.00,3,106,0,0.00,13,6.09,4.71,1.00,17.00
150206,-8.59,0.00,1,12.48,194,1118,0.5000,5.53,13.40,14.36,8,14.62,0.29,0.30,0.00,3,106,0,0.00,13,6.09,4.71,1.00,17.00
150310,-9.38,0.00,1,12.96,194,1061,0.5000,5.43,13.40,14.36,8,14.63,0.29,0.31,0.00,3,106,0,0.00,13,6.09,4.71,1.00,17.00
150414,-10.16,0.78,1,13.28,194,1022,0.5000,5.43,13.40,14.36,8,14.64,0.30,0.31,0.00,3,106,0,0.00,13,6.24,4.71,1.00,22.00
150518,-10.16,0.78,1,13.44,194,1005,0.5000,5.43,13.40,14.36,8,14.64,0.31,0.32,0.00,3,106,0,0.00,13,6.38,4.71,1.00,22.00
150621,-10.94,0.78,1,13.52,194,990,0.5000,5.43,13.50,14.36,8,14.65,0.32,0.33,0.00,3,106,0,0.00,13,6.53,5.10,1.00,22.00
150726,-11.72,0.78,1,13.52,194,968,0.5000,5.53,13.50,14.36,8,14.65,0.32,0.34,0.00,3,106,0,0.00,13,6.67,5.10,1.00,22.00
150830,-12.50,0.78,1,13.60,194,966,0.5000,5.56,13.50,14.36,8,14.65,0.33,0.34,0.00,3,106,0,0.00,13,6.96,5.10,1.00,22.00
150934,-13.28,3.12,1,13.60,194,952,0.5000,5.53,13.60,14.36,8,14.66,0.33,0.35,0.00,3,106,0,0.00,13,7.11,5.10,1.00,22.00
151038,-13.28,3.12,1,13.52,194,931,0.5000,5.50,13.50,14.36,8,14.66,0.34,0.35,0.00,3,106,0,0.00,13,7.25,4.71,1.00,22.00
151142,-14.06,3.12,1,13.52,194,922,0.5000,5.43,13.70,14.36,8,14.66,0.34,0.35,0.00,3,106,0,0.00,13,7.25,4.71,1.00,22.00
151246,-14.06,3.12,1,13.52,194,898,0.5000,5.37,13.60,14.36,8,14.67,0.34,0.36,0.00,3,106,0,0.00,13,7.40,4.71,1.00,22.00
151350,-14.06,3.12,1,13.52,194,888,0.5000,5.30,13.80,14.36,8,14.67,0.35,0.36,0.00,3,106,0,0.00,13,7.55,4.71,1.00,22.00
151454,-14.84,3.12,1,13.52,194,881,0.5000,5.30,13.90,14.36,8,14.67,0.35,0.36,0.00,3,106,0,0.00,13,7.55,4.71,1.00,22.00
151558,-14.84,3.12,1,13.60,194,932,0.5000,5.24,13.90,14.36,8,14.67,0.35,0.34,0.00,3,106,0,0.00,13,7.69,4.71,1.00,22.00
151662,-14.84,3.12,1,13.52,194,973,0.5000,5.11,14.00,14.36,8,14.66,0.34,0.32,0.00,3,106,0,0.00,13,7.55,4.71,1.00,17.50
151766,-14.84,3.12,1,13.60,194,988,0.5000,5.11,14.20,14.36,8,14.65,0.33,0.31,0.00,3,106,0,0.00,13,7.40,4.71,1.00,16.50
151870,-14.84,3.12,1,13.52,194,1010,0.5000,5.11,14.30,14.36,8,14.65,0.32,0.30,0.00,3,106,0,0.00,13,7.25,5.10,1.00,16.50
151974,-14.84,3.12,1,13.52,194,1006,0.5000,5.24,14.30,14.36,8,14.64,0.31,0.31,0.00,3,106,0,0.00,13,7.11,5.10,1.00,16.50
152078,-14.84,3.12,1,13.60,194,959,0.5000,5.24,14.40,14.36,8,14.65,0.32,0.33,0.00,3,106,0,0.00,13,7.11,5.10,1.00,17.00
152182,-14.84,3.12,1,13.60,194,909,0.5000,5.24,14.40,14.36,8,14.66,0.32,0.34,0.00,3,106,0,0.00,13,7.25,5.10,1.00,20.50
152287,-14.06,3.12,1,13.36,194,902,0.5000,5.24,14.50,14.36,8,14.67,0.33,0.35,0.00,3,106,0,0.00,13,7.40,5.10,1.00,22.00
152391,-14.06,3.12,1,13.44,194,857,0.5000,5.24,14.40,14.36,8,14.67,0.34,0.37,0.00,3,106,0,0.00,13,7.55,4.71,1.00,22.00
152494,-14.06,3.12,1,13.44,194,834,0.5000,5.24,14.30,14.36,8,14.68,0.35,0.38,0.00,2,106,0,0.00,13,7.69,4.71,1.00,22.00
152598,-13.28,3.12,1,13.60,194,797,0.5000,5.18,14.80,14.36,8,14.69,0.36,0.38,0.00,2,106,0,0.00,13,7.84,5.10,1.00,22.00
152702,-13.28,3.12,1,13.68,194,794,0.5000,5.18,14.90,14.36,8,14.69,0.37,0.39,0.00,2,106,0,0.00,13,8.13,5.10,1.00,22.00
152806,-13.28,3.12,1,13.60,194,817,0.5000,5.18,14.90,14.36,8,14.69,0.37,0.38,0.00,2,106,0,0.00,13,8.27,5.10,1.00,22.00
152910,-12.50,3.12,1,13.52,194,819,0.5000,5.11,15.10,14.36,8,14.69,0.37,0.38,0.00,2,106,0,0.00,13,8.27,5.10,1.00,22.00
153014,-12.50,3.12,1,13.52,194,836,0.5000,5.11,15.10,14.36,8,14.69,0.37,0.37,0.00,2,106,0,0.00,13,8.42,4.71,1.00,21.50
153118,-11.72,3.12,1,13.52,194,832,0.5000,5.02,15.10,14.36,8,14.69,0.37,0.36,0.00,2,106,0,0.00,13,8.27,4.71,1.00,20.50
153222,-10.94,3.12,1,13.60,194,835,0.5000,4.93,15.30,14.36,8,14.68,0.36,0.36,0.00,2,106,0,0.00,13,8.27,4.71,1.00,20.50
153326,-10.94,3.12,1,13.60,194,838,0.5000,4.93,15.50,14.36,8,14.69,0.36,0.35,0.00,2,106,0,0.00,13,8.27,4.71,1.00,18.50
153430,-10.16,3.12,1,13.60,194,863,0.5000,4.87,15.50,14.36,8,14.68,0.35,0.34,0.00,2,106,0,0.00,13,8.13,4.71,1.00,17.50
153534,-10.16,3.12,1,13.60,194,850,0.5000,4.87,15.50,14.36,8,14.68,0.35,0.34,0.00,2,106,0,0.00,13,8.13,4.71,1.00,17.50
153638,-10.16,3.12,1,13.68,194,852,0.5000,4.87,15.40,14.36,8,14.68,0.35,0.35,0.00,2,106,0,0.00,13,7.98,4.71,1.00,17.00
153742,-10.16,3.12,1,13.68,194,852,0.5000,4.87,15.30,14.36,8,14.68,0.34,0.34,0.00,1,106,0,0.00,13,7.98,4.71,1.00,17.50
153847,-10.16,3.12,1,13.60,194,848,0.5000,4.90,15.10,14.36,8,14.68,0.34,0.35,0.00,1,106,0,0.00,13,7.98,4.71,1.00,17.00
153951,-10.16,3.12,1,13.60,194,854,0.5000,4.87,15.10,14.36,8,14.68,0.34,0.34,0.00,1,106,0,0.00,13,7.98,4.71,1.00,17.50
154055,-10.16,3.12,1,13.60,194,851,0.5000,4.87,15.00,14.36,8,14.68,0.34,0.36,0.00,1,106,0,0.00,13,7.98,6.67,1.00,18.00
154158,-10.16,3.12,2,13.60,194,878,0.5000,6.37,15.00,14.36,8,14.68,0.38,0.51,0.00,1,106,0,0.00,13,9.87,12.55,0.77,20.00
154263,-9.38,2.34,2,13.76,194,1039,0.5000,9.86,14.90,14.36,8,14.66,0.47,0.61,0.00,1,106,0,0.00,13,11.75,14.12,0.85,23.50
154366,-10.16,2.34,3,13.60,194,1198,0.5000,10.10,14.90,14.36,8,14.61,0.49,0.53,0.00,1,106,0,0.00,13,12.48,14.90,0.98,27.00
154471,-8.59,2.34,3,13.52,194,1252,0.5000,10.30,14.80,14.36,8,14.60,0.50,0.50,0.00,1,106,0,0.00,13,12.62,15.29,0.98,29.00
154574,0.78,2.34,3,13.52,194,1267,0.5000,10.69,16.80,14.36,8,14.60,0.50,0.51,0.00,1,106,0,0.00,13,12.62,15.29,0.98,30.00
154679,14.84,2.34,3,13.52,194,1331,0.5000,10.99,17.80,14.36,8,14.60,0.50,0.50,0.00,1,106,0,0.00,13,12.48,14.90,0.98,31.00
154783,20.31,2.34,3,13.52,194,1456,0.5000,11.29,18.90,14.36,8,14.59,0.49,0.48,0.00,1,106,0,0.00,13,12.33,14.90,0.99,33.00
154887,19.53,2.34,3,13.60,194,1526,0.5000,11.85,17.30,14.36,8,14.58,0.49,0.47,0.00,1,106,0,0.00,13,12.04,14.90,0.99,34.50
154990,19.53,0.00,3,13.60,194,1579,0.5000,12.40,16.10,14.36,8,14.58,0.48,0.47,0.00,1,106,0,0.00,13,11.90,14.90,0.99,36.00
155095,20.31,0.00,3,13.36,194,1618,0.5000,12.79,15.60,14.36,8,14.58,0.48,0.49,0.00,1,106,0,0.00,13,11.75,15.29,0.99,36.50
155199,21.09,0.00,3,13.44,194,1648,0.5000,13.52,15.30,14.36,8,14.57,0.49,0.49,0.00,1,106,0,0.00,13,11.75,15.29,0.99,37.00
155303,22.66,0.00,3,13.60,194,1679,0.5000,13.55,15.30,14.36,8,14.57,0.49,0.49,0.00,1,106,0,0.00,13,11.61,14.90,0.99,37.50
155407,22.66,0.00,3,13.60,194,1685,0.5000,13.79,15.10,14.36,8,14.57,0.49,0.49,0.00,1,106,0,0.00,13,11.46,14.90,0.99,37.50
155511,23.44,0.00,3,13.52,194,1713,0.5000,13.76,15.00,14.36,8,14.57,0.49,0.48,0.00,1,106,0,0.00,13,11.46,14.51,0.99,38.00
155614,22.66,0.00,3,13.44,194,1734,0.5000,14.07,14.80,14.36,8,14.57,0.49,0.48,0.00,1,106,0,0.00,13,11.32,14.90,0.99,38.00
155718,22.66,0.00,3,13.36,194,1756,0.5000,14.21,14.40,14.36,8,14.57,0.49,0.48,0.00,1,106,0,0.00,13,11.17,14.90,0.99,38.50
155823,22.66,0.00,3,13.60,194,1797,0.5000,14.59,14.40,14.36,8,14.57,0.49,0.49,0.00,1,106,0,0.00,13,11.17,14.90,0.99,38.50
155926,22.66,0.00,3,13.52,194,1818,0.5000,14.50,14.50,14.36,8,14.57,0.49,0.48,0.00,1,106,0,0.00,13,11.17,14.90,0.99,39.00
156031,22.66,0.00,3,13.52,194,1836,0.5000,14.50,14.50,14.36,8,14.57,0.48,0.48,0.00,1,106,0,0.00,13,11.17,14.90,0.99,39.00
156135,22.66,0.00,3,13.44,194,1843,0.5000,14.84,14.40,14.36,8,14.57,0.48,0.48,0.00,1,106,0,0.00,13,11.03,14.90,0.99,39.50
156239,22.66,0.00,3,13.44,194,1861,0.5000,15.02,14.50,14.36,8,14.57,0.48,0.48,0.00,1,106,0,0.00,13,11.03,14.90,0.99,39.50
156342,23.44,0.00,3,13.52,194,1895,0.5000,14.85,14.50,14.36,8,14.57,0.48,0.48,0.00,1,106,0,0.00,13,11.03,14.90,0.99,39.50
156447,23.44,0.00,3,13.60,194,1917,0.5000,14.97,14.50,14.36,8,14.57,0.48,0.47,0.00,1,106,1,0.00,13,10.88,14.90,0.99,39.50
156550,23.44,0.00,3,13.60,194,1930,0.5000,15.20,14.70,14.36,8,14.57,0.47,0.47,0.00,1,106,0,0.00,13,10.88,15.29,0.99,40.00
156654,25.00,0.00,3,13.60,194,1971,0.5000,15.26,14.80,14.36,8,14.57,0.47,0.47,0.00,1,106,0,0.00,13,10.88,14.90,0.99,40.00
156758,25.00,0.00,3,13.44,194,1995,0.5000,15.38,14.80,14.36,8,14.57,0.47,0.47,0.00,1,106,1,0.00,13,10.74,14.90,0.99,40.50
156863,25.00,0.00,3,13.36,194,2016,0.5000,15.50,14.80,14.36,8,14.57,0.46,0.46,0.00,1,106,1,0.00,13,10.74,15.29,0.99,40.50
156967,25.00,0.00,3,13.52,194,2052,0.5000,15.63,14.80,14.36,8,14.57,0.46,0.46,0.00,1,106,1,0.00,13,10.59,15.29,0.99,40.50
157071,25.00,0.00,3,13.60,194,2096,0.5000,15.57,14.80,14.36,8,14.57,0.46,0.46,0.00,1,106,1,0.00,13,10.59,15.29,0.99,40.50
157174,25.00,0.00,3,13.44,194,2102,0.5000,15.91,15.00,14.36,8,14.57,0.46,0.45,0.00,1,106,1,0.00,13,10.45,15.29,0.99,40.50
157279,25.00,0.00,3,13.60,194,2152,0.5000,15.84,14.90,14.36,8,14.58,0.45,0.45,0.00,1,106,2,0.00,13,10.45,15.29,0.99,40.50
157383,25.00,0.00,3,13.60,194,2180,0.5000,15.97,14.80,14.36,8,14.58,0.44,0.45,0.00,1,106,2,0.00,13,10.30,15.29,0.99,40.00
157487,25.00,0.00,3,13.60,194,2182,0.5000,15.98,14.90,14.36,8,14.58,0.44,0.44,0.00,1,106,2,0.00,13,10.30,15.29,0.99,40.50
157591,25.00,0.00,3,13.52,194,2207,0.5000,15.77,15.00,14.36,8,14.58,0.43,0.43,0.00,1,106,3,0.00,13,10.01,14.51,1.00,40.00
157695,25.00,0.00,3,13.44,194,2225,0.5000,15.77,14.90,14.36,8,14.58,0.43,0.42,0.00,1,106,3,0.00,13,9.87,14.51,1.00,40.00
157799,25.00,0.00,3,13.60,194,2196,0.5000,15.84,14.80,14.36,8,14.59,0.43,0.43,0.00,1,106,3,0.00,13,9.72,14.51,1.00,25.00
157903,25.00,0.00,3,13.52,194,2122,0.5000,15.84,14.80,14.36,8,14.58,0.44,0.45,0.00,1,106,4,0.00,13,9.72,14.51,0.99,25.00
158007,25.00,0.00,3,13.52,194,1942,0.5000,15.91,14.80,14.36,8,14.57,0.46,0.48,0.00,1,106,5,0.00,13,10.01,14.51,0.99,25.00
158111,25.00,0.00,3,13.60,194,1861,0.5000,15.70,14.50,14.36,8,14.57,0.48,0.50,0.00,1,106,6,0.00,13,10.45,14.51,0.99,37.50
158215,24.22,0.00,3,13.52,194,1834,0.5000,15.44,14.40,14.36,8,14.57,0.49,0.50,0.00,1,106,6,0.00,13,10.74,14.51,0.99,39.50
158319,22.66,0.00,3,13.52,194,1812,0.5000,15.08,14.60,14.36,8,14.57,0.50,0.51,0.00,1,106,7,0.00,13,10.74,14.51,0.99,39.50
158424,21.88,0.00,3,13.44,194,1790,0.5000,15.14,14.10,14.36,8,14.57,0.50,0.51,0.00,1,106,7,0.00,13,10.88,14.51,0.99,39.50
158527,20.31,0.00,3,13.52,192,1776,0.5000,15.08,14.10,14.36,8,14.58,0.51,0.51,0.00,1,106,8,0.00,13,11.03,14.51,0.99,39.50
158631,19.53,0.00,3,13.60,192,1786,0.5000,14.97,14.00,14.36,8,14.58,0.50,0.50,0.00,2,106,8,0.00,15,11.03,14.51,0.99,40.00
158735,18.75,0.00,3,13.52,192,1794,0.5000,14.97,14.20,14.36,8,14.58,0.50,0.50,0.00,2,106,8,0.00,15,11.03,14.51,0.99,40.00
158839,17.97,0.00,3,13.52,192,1800,0.5000,15.20,14.20,14.36,8,14.58,0.50,0.50,0.00,2,106,9,0.00,15,11.03,14.51,0.99,39.50
158943,17.97,0.00,3,13.52,192,1822,0.5000,15.14,14.20,14.36,8,14.58,0.50,0.50,0.00,2,106,9,0.00,15,10.88,14.51,0.99,39.50
159047,17.97,0.00,3,13.68,192,1830,0.5000,15.02,14.40,14.36,8,14.58,0.50,0.50,0.00,2,106,9,0.00,15,10.88,14.51,0.99,39.50
159151,17.97,0.00,3,13.52,192,1838,0.5000,15.09,14.40,14.36,8,14.57,0.50,0.49,0.00,2,106,9,0.00,15,10.88,14.51,0.99,40.00
159255,17.97,0.00,3,13.52,192,1831,0.5000,15.08,14.50,14.36,8,14.57,0.50,0.50,0.00,2,106,10,0.00,15,10.88,14.51,0.99,40.00
159358,17.97,0.00,3,13.68,192,1837,0.5000,15.32,14.60,14.36,8,14.57,0.50,0.49,0.00,2,106,10,0.00,15,10.88,14.51,0.99,40.00
159463,17.97,0.00,3,13.52,192,1843,0.5000,15.26,14.60,14.36,8,14.57,0.49,0.49,0.00,2,106,11,0.00,15,10.88,14.51,0.99,40.00
159567,17.97,0.00,3,13.60,192,1868,0.5000,15.26,14.60,14.36,8,14.57,0.49,0.50,0.00,2,106,11,0.00,15,10.88,14.51,0.99,40.00
159672,18.75,0.00,3,13.52,192,1876,0.5000,15.20,14.70,14.36,8,14.57,0.49,0.49,0.00,2,106,11,0.00,15,10.74,14.51,0.99,40.00
159775,18.75,0.00,3,13.44,192,1868,0.5000,14.97,14.60,14.36,8,14.57,0.49,0.48,0.00,2,106,12,0.00,15,10.74,14.12,0.99,40.00
159879,18.75,0.00,3,13.60,192,1868,0.5000,15.20,14.50,14.36,8,14.57,0.49,0.48,0.00,2,106,12,0.00,15,10.59,14.12,0.99,39.50
159983,17.97,0.00,3,13.44,192,1888,0.5000,15.20,14.50,14.36,8,14.57,0.48,0.49,0.00,2,106,12,0.00,15,10.59,14.51,0.99,39.50
160087,17.97,0.00,3,13.60,192,1895,0.5000,15.14,14.50,14.36,8,14.57,0.48,0.49,0.00,2,106,13,0.00,15,10.59,14.12,0.99,40.00
160191,17.97,0.00,3,13.52,192,1898,0.5000,15.26,14.50,14.36,8,14.57,0.48,0.48,0.00,2,106,13,0.00,15,10.59,14.12,0.99,40.00
160295,17.97,0.00,3,13.52,192,1913,0.5000,15.08,14.40,14.36,8,14.57,0.48,0.47,0.00,2,106,13,0.00,15,10.59,14.12,0.99,40.00
160399,17.97,0.00,3,13.60,192,1941,0.5000,15.32,14.50,14.36,8,14.57,0.48,0.48,0.00,2,106,14,0.00,15,10.59,14.51,0.99,40.00
160503,18.75,0.00,3,13.60,192,1939,0.5000,15.32,14.60,14.36,8,14.57,0.47,0.47,0.00,2,106,14,0.00,15,10.59,14.51,0.99,40.00
160607,18.75,0.00,3,13.52,192,1964,0.5000,15.32,14.60,14.36,8,14.57,0.47,0.47,0.00,2,106,14,0.00,15,10.59,14.51,0.99,40.00
160711,19.53,0.00,3,13.44,192,1972,0.5000,15.20,14.60,14.36,8,14.57,0.47,0.47,0.00,2,106,14,0.00,15,10.59,14.51,0.99,40.00
160815,19.53,0.00,3,13.52,192,1972,0.5000,15.20,14.70,14.36,8,14.57,0.47,0.46,0.00,2,106,15,0.00,15,10.45,14.51,0.99,40.00
160919,19.53,0.00,3,13.60,192,2011,0.5000,15.56,14.70,14.36,8,14.57,0.47,0.47,0.00,2,106,15,0.00,15,10.59,14.90,0.99,40.50
161023,21.09,0.00,3,13.68,192,2024,0.5000,15.70,14.90,14.36,8,14.57,0.47,0.46,0.00,2,106,15,0.00,15,10.59,14.90,0.99,40.50
161127,21.88,0.00,3,13.60,192,2053,0.5000,15.84,15.00,14.36,8,14.57,0.47,0.47,0.00,2,106,16,0.00,15,10.59,14.90,0.99,40.50
161232,23.44,0.00,3,13.44,192,2043,0.5000,15.84,15.00,14.36,8,14.57,0.46,0.46,0.00,2,106,16,0.00,15,10.59,14.90,0.99,40.50
161335,23.44,0.00,3,13.44,192,2050,0.5000,15.71,14.90,14.36,8,14.57,0.46,0.46,0.00,2,106,16,0.00,15,10.59,14.90,0.99,40.50
161439,23.44,0.00,3,13.60,192,2086,0.5000,16.04,14.70,14.36,8,14.57,0.46,0.46,0.00,2,106,16,0.00,15,10.45,14.51,0.99,40.50
161543,24.22,0.00,3,13.60,192,2091,0.5000,15.84,14.80,14.36,8,14.57,0.46,0.45,0.00,2,106,17,0.00,15,10.45,14.51,0.99,40.50
